[0] N(41) HP(135) PP(168) HA(175) HM(186) PM(195) PA(243)
[323] N(281) HP(1082) HA(1382) HM(1446) PM(1804) PP(1856) PA(1935)
[324] N(874) HP(3761) HA(4654) HM(4808) PM(6118) PP(6749) PA(7181)
[325] N(27) HP(86) HA(109) PM(114) PA(114) HM(117) PP(145)
[326] N(481) HP(1949) HA(2483) HM(2520) PP(3094) PM(3141) PA(3615)
[327] N(971) HP(4163) HA(5213) HM(5383) PM(6608) PP(7186) PA(7936)
[328] N(204) HP(799) HA(974) HM(1027) PM(1072) PP(1287) PA(1462)
[329] N(210) HP(788) HA(1024) HM(1048) PM(1215) PA(1345) PP(1355)
[330] N(267) HP(1049) HA(1309) HM(1357) PP(1583) PM(1658) PA(1952)
[331] N(925) HP(4008) HA(4946) HM(5096) PM(5947) PP(6436) PA(7587)
[332] N(167) HP(611) HA(786) HM(814) PP(824) PM(843) PA(1005)
[333] N(462) HP(1907) HA(2389) HM(2453) PM(3016) PA(3575) PP(3665)
[334] N(674) HP(2885) HA(3533) HM(3654) PM(4269) PA(5047) PP(6358)
[335] N(471) HP(1920) HA(2406) HM(2503) PM(2979) PP(3018) PA(3422)
[336] N(543) HP(2254) HA(2765) HM(2907) PM(3473) PP(3801) PA(4530)
[337] N(969) HP(4171) HA(5173) HM(5370) PM(6783) PP(7269) PA(8518)
[338] N(434) HP(1783) HA(2234) HM(2280) PM(2613) PP(2935) PA(3152)
[339] N(676) HP(2861) HA(3533) HM(3641) PM(4125) PP(4627) PA(4719)
[340] N(771) HP(3216) HA(4059) HM(4203) PM(4765) PP(5519) PA(6314)
[341] N(444) HP(1811) HA(2251) HM(2346) PM(2676) PA(2702) PP(3052)
[342] N(372) HP(1496) HA(1867) HM(1932) PP(2326) PA(2331) PM(2430)
[343] N(707) HP(3023) HA(3724) HM(3821) PM(4537) PP(5229) PA(6484)
[344] N(198) HP(746) HA(959) HM(980) PP(1076) PM(1203) PA(1231)
[345] N(820) HP(3496) HA(4374) HM(4461) PP(5199) PM(5346) PA(6695)
[346] N(294) HP(1171) HA(1448) HM(1520) PM(1521) PP(1897) PA(2060)
[347] N(554) HP(2332) HA(2862) HM(2968) PP(3717) PM(3762) PA(4635)
[348] N(326) HP(1298) HA(1611) HM(1693) PM(1776) PP(1925) PA(2087)
[349] N(361) HP(1458) HA(1805) HM(1886) PP(2252) PM(2328) PA(2370)
[350] N(683) HP(2897) HA(3568) HM(3689) PM(4541) PP(4893) PA(5295)
[351] N(310) HP(1236) HA(1569) HM(1617) PM(1792) PP(1814) PA(1988)
[352] N(347) HP(1398) HA(1735) HM(1807) PM(1893) PP(2376) PA(2601)
[353] N(879) HP(3830) HA(4736) HM(4872) PM(6074) PP(6497) PA(6749)
[354] N(294) HP(1145) HA(1452) HM(1528) PP(1664) PM(1671) PA(1813)
[355] N(993) HP(4280) HA(5295) HM(5462) PP(6713) PM(7359) PA(7796)
[356] N(918) HP(3945) HA(4847) HM(5095) PM(6083) PP(6712) PA(7288)
[357] N(681) HP(2860) HA(3594) HM(3678) PM(4183) PP(4554) PA(5652)
[358] N(996) HP(4349) HA(5363) HM(5590) PP(6808) PM(8066) PA(8741)
[359] N(842) HP(1683) HA(3099) HM(3365) PM(5498) PA(7531) PP(356585)
[360] N(495) HP(2000) HA(2545) HM(2653) PM(3071) PA(3474) PP(3565)
[361] N(252) HP(988) HA(1247) HM(1278) PM(1435) PP(1479) PA(1576)
[362] N(548) HP(2239) HA(2797) HM(2885) PP(3509) PM(3773) PA(3861)
[363] N(794) HP(3343) HA(4197) HM(4357) PP(5529) PM(6048) PA(6840)
[364] N(349) HP(1393) HA(1752) HM(1798) PM(2140) PA(2201) PP(2241)
[365] N(742) HP(3157) HA(3896) HM(4034) PP(5779) PM(5990) PA(6768)
[366] N(767) HP(1533) HA(2807) HM(3065) PM(5118) PA(6348) PP(296060)
[367] N(152) HP(569) HA(715) HM(737) PM(781) PP(816) PA(992)
[368] N(304) HP(1183) HA(1506) HM(1571) PM(1643) PP(1972) PA(2177)
[369] N(447) HP(1858) HA(2305) HM(2347) PM(2742) PP(2960) PA(3251)
[370] N(54) HP(183) HA(240) HM(245) PM(278) PP(283) PA(302)
[371] N(641) HP(2694) HA(3347) HM(3482) PP(4314) PM(4320) PA(5413)
[372] N(459) HP(917) HA(1688) HM(1833) PM(2674) PA(3174) PP(106486)
[373] N(414) HP(1692) HA(2104) HM(2175) PM(2591) PP(2815) PA(3041)
[374] N(568) HP(2371) HA(2973) HM(3072) PM(3648) PP(3886) PA(4163)
[375] N(530) HP(2180) HA(2749) HM(2832) PP(3429) PA(3656) PM(3719)
[376] N(972) HP(1943) HA(3570) HM(3885) PM(6006) PA(7861) PP(474820)
[377] N(122) HP(456) HA(576) HM(593) PM(628) PP(654) PA(685)
[378] N(634) HP(2666) HA(3339) HM(3426) PM(4170) PP(4440) PA(4975)
[379] N(636) HP(2692) HA(3319) HM(3440) PM(3935) PP(4109) PA(4879)
[380] N(830) HP(3549) HA(4455) HM(4587) PM(5531) PP(5933) PA(6366)
[381] N(168) HP(629) HA(812) HM(832) PM(900) PP(1023) PA(1028)
[382] N(926) HP(4028) HA(4980) HM(5106) PM(6260) PA(7187) PP(7726)
[383] N(996) HP(1991) HA(3641) HM(3981) PM(6082) PA(8613) PP(498496)
[384] N(666) HP(2822) HA(3481) HM(3585) PM(4116) PP(4514) PA(5330)
[385] N(571) HP(2334) HA(2962) HM(3031) PP(3768) PM(3795) PA(4246)
[386] N(474) HP(1957) HA(2411) HM(2534) PM(2863) PA(3239) PP(3357)
[387] N(814) HP(3520) HA(4316) HM(4460) PM(5196) PP(5881) PA(6430)
[388] N(594) HP(1187) HA(2191) HM(2373) PM(3645) PA(4483) PP(177901)
[389] N(966) HP(4200) HA(5134) HM(5303) PM(7024) PP(7149) PA(7221)
[390] N(496) HP(2014) HA(2527) HM(2662) PM(2834) PP(2999) PA(3341)
[391] N(633) HP(2641) HA(3274) HM(3403) PM(3827) PP(4334) PA(5968)
[392] N(285) HP(1139) HA(1446) HM(1454) PM(1484) PP(1776) PA(2013)
[393] N(81) HP(283) HA(370) HM(381) PM(397) PP(443) PA(450)
[394] N(69) HP(236) HA(303) HM(316) PA(317) PM(342) PP(361)
[395] N(594) HP(2488) HA(3105) HM(3228) PM(3777) PA(3886) PP(4601)
[396] N(891) HP(3785) HA(4722) HM(4919) PP(6072) PM(6331) PA(7799)
[397] N(687) HP(2922) HA(3597) HM(3709) PM(4290) PP(4725) PA(5591)
[398] N(390) HP(1593) HA(1971) HM(2038) PM(2422) PP(2809) PA(2832)
[399] N(104) HP(355) PP(470) HA(482) HM(484) PM(490) PA(546)
[400] N(640) HP(2692) HA(3330) HM(3462) PP(4159) PM(4504) PA(5132)
[401] N(361) HP(1418) HA(1811) HM(1865) PM(2308) PA(2915) PP(2952)
[402] N(514) HP(2134) HA(2652) HM(2720) PM(3197) PA(3800) PP(4036)
[403] N(238) HP(942) HA(1161) HM(1199) PP(1284) PM(1383) PA(1450)
[404] N(11) HP(28) PM(32) HA(40) PA(41) HM(45) PP(46)
[405] N(50) HP(173) PP(217) HA(220) PM(222) HM(229) PA(431)
[406] N(279) HP(1097) HA(1383) HM(1439) PM(1637) PP(1642) PA(1693)
[407] N(417) HP(1690) HA(2105) HM(2178) PP(2328) PA(2819) PM(2856)
[408] N(174) HP(676) HA(839) HM(867) PM(937) PA(1092) PP(1212)
[409] N(865) HP(3710) HA(4588) HM(4763) PM(5648) PP(5782) PA(6353)
[410] N(637) HP(2643) HA(3329) HM(3422) PM(4088) PP(4360) PA(4961)
[411] N(61) HP(217) PP(267) HA(275) PM(278) HM(278) PA(340)
[412] N(870) HP(3703) HA(4618) HM(4756) PP(6136) PM(6429) PA(6619)
[413] N(890) HP(3837) HA(4710) HM(4916) PA(6226) PM(6609) PP(8297)
[414] N(82) HP(290) HA(368) PP(372) HM(386) PA(436) PM(444)
[415] N(569) HP(2388) HA(2987) HM(3062) PM(3291) PP(3816) PA(4101)
[416] N(871) HP(1741) HA(3193) HM(3481) PM(5618) PA(7149) PP(381496)
[417] N(315) HP(1243) HA(1572) HM(1622) PP(1901) PM(2022) PA(2651)
[418] N(964) HP(4189) HA(5176) HM(5308) PM(6540) PP(7183) PA(7484)
[419] N(732) HP(3144) HA(3871) HM(4016) PM(4543) PP(5780) PA(6985)
[420] N(653) HP(2719) HA(3430) HM(3528) PM(4422) PP(4428) PA(5270)
[421] N(840) HP(3599) HA(4471) HM(4650) PM(5581) PP(5616) PA(6361)
[422] N(145) HP(538) HA(692) HM(709) PM(775) PP(789) PA(918)
[423] N(959) HP(4158) HA(5134) HM(5306) PM(6309) PP(6792) PA(7444)
[424] N(269) HP(1048) HA(1328) HM(1365) PP(1463) PM(1536) PA(1902)
[425] N(248) HP(965) HA(1225) PM(1249) HM(1258) PP(1624) PA(1648)
[426] N(556) HP(2287) HA(2869) HM(3000) PM(3633) PP(3666) PA(4522)
[427] N(771) HP(3296) HA(4081) HM(4186) PP(4971) PM(5237) PA(6145)
[428] N(632) HP(2626) HA(3261) HM(3392) PM(4125) PP(4279) PA(5062)
[429] N(786) HP(3333) HA(4210) HM(4313) PP(5058) PM(5388) PA(5635)
[430] N(633) HP(2642) HA(3313) HM(3445) PP(4301) PA(4583) PM(5047)
[431] N(567) HP(2350) HA(2944) HM(3056) PM(3502) PA(4084) PP(4342)
[432] N(412) HP(1663) HA(2081) HM(2166) PM(2382) PA(2666) PP(2729)
[433] N(574) HP(2385) HA(2962) HM(3065) PM(3481) PP(4222) PA(4648)
[434] N(300) HP(1177) HA(1499) HM(1543) PM(1676) PP(1765) PA(2253)
[435] N(798) HP(1595) HA(2964) HM(3189) PM(5291) PA(5769) PP(320395)
[436] N(390) HP(1561) HA(1999) HM(2046) PM(2358) PP(2485) PA(2793)
[437] N(457) HP(1843) HA(2343) HM(2396) PP(3087) PM(3132) PA(3450)
[438] N(93) HP(331) HA(427) HM(438) PM(449) PA(484) PP(487)
[439] N(901) HP(3889) HA(4801) HM(4969) PM(5908) PP(6744) PA(7716)
[440] N(748) HP(3171) HA(3946) HM(4059) PP(4690) PM(5257) PA(5647)
[441] N(200) HP(776) HA(963) HM(1012) PM(1086) PP(1206) PA(1346)
[442] N(241) HP(953) HA(1183) PP(1187) HM(1214) PM(1409) PA(1762)
[443] N(849) HP(3666) HA(4522) HM(4691) PM(5874) PA(6185) PP(6822)
[444] N(392) HP(1581) HA(1979) HM(2035) PP(2349) PM(2386) PA(2918)
[445] N(851) HP(3649) HA(4527) HM(4657) PP(5631) PM(5792) PA(7032)
[446] N(40) HP(132) PM(158) HA(167) HM(169) PP(179) PA(182)
[447] N(207) HP(784) HA(994) HM(1021) PM(1202) PP(1234) PA(1311)
[448] N(346) HP(1362) HA(1754) HM(1796) PM(1961) PP(2223) PA(2398)
[449] N(470) HP(1976) HA(2365) HM(2487) PM(3049) PP(3107) PA(3815)
[450] N(878) HP(3825) HA(4724) HM(4826) PP(5556) PA(6632) PM(6829)
[451] N(546) HP(1091) HA(2017) HM(2181) PM(3184) PA(3759) PP(150421)
[452] N(900) HP(3878) HA(4838) HM(4929) PP(5998) PM(6281) PA(7796)
[453] N(900) HP(1799) HA(3320) HM(3596) PM(5731) PA(7499) PP(407248)
[454] N(17) HP(51) PP(66) PA(66) PM(67) HA(67) HM(71)
[455] N(899) HP(3884) HA(4802) HM(4936) PM(6104) PA(6753) PP(6902)
[456] N(298) HP(1166) HA(1462) HM(1514) PP(1812) PM(1871) PA(2265)
[457] N(148) HP(557) HA(697) HM(724) PM(792) PA(894) PP(905)
[458] N(880) HP(3781) HA(4672) HM(4836) PM(5947) PP(6418) PA(6991)
[459] N(197) HP(748) HA(948) HM(982) PM(1044) PP(1150) PA(1221)
[460] N(998) HP(4298) HA(5374) HM(5503) PM(7025) PP(7524) PA(7784)
[461] N(45) HP(153) PP(171) PM(173) HA(193) HM(204) PA(217)
[462] N(33) HP(102) PM(126) HA(136) PP(138) HM(143) PA(148)
[463] N(388) HP(1573) HA(1936) HM(2021) PM(2566) PA(2633) PP(2653)
[464] N(35) HP(69) PA(125) HA(126) HM(137) PM(142) PP(698)
[465] N(550) HP(2287) HA(2825) HM(2945) PM(3444) PP(4177) PA(4248)
[466] N(506) HP(2083) HA(2610) HM(2682) PM(3105) PP(3253) PA(3886)
[467] N(947) HP(1893) HA(3468) HM(3785) PM(5918) PA(8445) PP(450770)
[468] N(678) HP(2865) HA(3589) HM(3717) PM(4530) PP(5066) PA(5228)
[469] N(207) HP(791) HA(1013) HM(1030) PP(1071) PM(1192) PA(1626)
[470] N(677) HP(2880) HA(3542) HM(3666) PM(4429) PP(5091) PA(5183)
[471] N(951) HP(4144) HA(5124) HM(5202) PP(6594) PM(6860) PA(7109)
[472] N(414) HP(1687) HA(2104) HM(2167) PP(2516) PM(2571) PA(3242)
[473] N(160) HP(612) HA(758) HM(790) PP(819) PM(901) PA(1060)
[474] N(981) HP(4247) HA(5268) HM(5412) PM(7296) PP(8066) PA(8336)
[475] N(429) HP(1751) HA(2209) HM(2269) PM(2697) PA(3019) PP(3390)
[476] N(967) HP(4215) HA(5131) HM(5365) PM(6676) PP(8154) PA(8482)
[477] N(417) HP(1679) HA(2088) HM(2201) PM(2504) PA(2813) PP(2885)
[478] N(130) HP(473) HA(606) HM(619) PP(719) PM(746) PA(853)
[479] N(375) HP(1496) HA(1897) HM(1943) PM(2126) PP(2360) PA(2870)
[480] N(173) HP(658) HA(830) HM(856) PP(922) PM(973) PA(1156)
[481] N(592) HP(2467) HA(3049) HM(3189) PP(3874) PA(4277) PM(4527)
[482] N(229) HP(874) HA(1112) HM(1152) PM(1205) PP(1268) PA(1915)
[483] N(422) HP(1712) HA(2183) HM(2230) PM(2578) PP(2745) PA(2819)
[484] N(255) HP(987) HA(1238) HM(1300) PP(1413) PM(1554) PA(1679)
[485] N(652) HP(2746) HA(3423) HM(3509) PM(4298) PA(4775) PP(5052)
[486] N(982) HP(4204) HA(5273) HM(5453) PM(6864) PP(7596) PA(7989)
[487] N(464) HP(1873) HA(2375) HM(2458) PM(2803) PP(2868) PA(3609)
[488] N(849) HP(3645) HA(4556) HM(4664) PM(5289) PP(6292) PA(6866)
[489] N(586) HP(2442) HA(3037) HM(3153) PP(3731) PM(3914) PA(4048)
[490] N(108) HP(386) HA(494) HM(520) PP(540) PM(591) PA(657)
[491] N(905) HP(3865) HA(4753) HM(4954) PM(5555) PA(6942) PP(7054)
[492] N(555) HP(2292) HA(2890) HM(2981) PM(3382) PA(4163) PP(4582)
[493] N(521) HP(2107) HA(2680) HM(2767) PM(3278) PP(3760) PA(4074)
[494] N(951) HP(4134) HA(5077) HM(5270) PM(6392) PP(6844) PA(8072)
[495] N(14) HP(41) PP(48) PM(49) PA(51) HA(54) HM(56)
[496] N(204) HP(783) HA(980) HM(1030) PM(1148) PP(1267) PA(1459)
[497] N(234) HP(888) HA(1147) HM(1169) PM(1291) PP(1396) PA(1488)
[498] N(809) HP(3505) HA(4323) HM(4433) PM(5156) PP(5464) PA(7585)
[499] N(629) HP(2615) HA(3259) HM(3419) PM(4050) PP(4679) PA(5233)
[500] N(112) HP(398) PP(520) HA(525) HM(532) PM(540) PA(595)
[501] N(195) HP(773) HA(964) HM(975) PM(1109) PP(1137) PA(1327)
[502] N(485) HP(2025) HA(2474) HM(2567) PM(3037) PA(3561) PP(3879)
[503] N(900) HP(3835) HA(4831) HM(4991) PM(5552) PP(6397) PA(6793)
[504] N(252) HP(962) HA(1236) PP(1258) HM(1259) PM(1352) PA(1577)
[505] N(829) HP(3532) HA(4424) HM(4586) PM(5678) PP(6339) PA(6799)
[506] N(881) HP(3765) HA(4684) HM(4829) PM(5994) PP(6597) PA(6945)
[507] N(798) HP(3372) HA(4264) HM(4392) PM(5915) PA(6075) PP(6378)
[508] N(679) HP(2887) HA(3600) HM(3700) PM(4765) PA(4922) PP(4973)
[509] N(685) HP(2896) HA(3622) HM(3715) PP(4618) PM(4692) PA(5509)
[510] N(162) HP(607) HA(769) HM(788) PM(837) PP(1024) PA(1120)
[511] N(855) HP(3636) HA(4517) HM(4717) PM(5878) PP(6570) PA(6735)
[512] N(520) HP(2123) HA(2681) HM(2777) PM(3169) PP(4011) PA(4915)
[513] N(142) HP(513) HA(667) HM(678) PA(745) PP(834) PM(865)
[514] N(996) HP(4322) HA(5358) HM(5508) PP(7097) PM(7346) PA(8013)
[515] N(537) HP(2201) HA(2783) HM(2862) PM(3190) PP(3635) PA(4009)
[516] N(226) HP(864) HA(1073) HM(1150) PM(1199) PP(1340) PA(1754)
[517] N(116) HP(431) HA(538) PP(548) HM(555) PM(612) PA(704)
[518] N(243) HP(934) HA(1176) HM(1233) PP(1392) PM(1464) PA(2010)
[519] N(325) HP(1304) HA(1635) HM(1701) PM(1898) PP(2174) PA(2792)
[520] N(182) HP(678) HA(856) HM(899) PP(951) PM(952) PA(1147)
[521] N(233) HP(897) HA(1140) HM(1180) PP(1306) PA(1497) PM(1584)
[522] N(704) HP(1407) HA(2581) HM(2813) PM(4617) PA(5773) PP(249566)
[523] N(587) HP(2432) HA(3067) HM(3118) PP(3528) PA(4096) PM(4253)
[524] N(831) HP(3574) HA(4441) HM(4597) PM(5338) PA(6380) PP(6773)
[525] N(985) HP(4312) HA(5300) HM(5468) PM(6576) PP(7515) PA(8679)
[526] N(316) HP(1203) HA(1559) HM(1628) PM(1951) PP(2003) PA(2655)
[527] N(276) HP(551) HA(1013) HM(1101) PM(1488) PA(2202) PP(38776)
[528] N(616) HP(2567) HA(3195) HM(3277) PM(3894) PP(4725) PA(4950)
[529] N(807) HP(1613) HA(2986) HM(3225) PM(5338) PA(6276) PP(327640)
[530] N(240) HP(927) HA(1175) HM(1206) PM(1474) PA(1734) PP(1847)
[531] N(824) HP(3545) HA(4361) HM(4481) PM(5393) PA(6475) PP(6783)
[532] N(602) HP(2463) HA(3082) HM(3231) PM(4015) PP(4037) PA(4402)
[533] N(171) HP(643) HA(811) PM(830) HM(837) PP(949) PA(1130)
[534] N(787) HP(3358) HA(4212) HM(4317) PM(5027) PP(5693) PA(5942)
[535] N(950) HP(1899) HA(3483) HM(3797) PM(5928) PA(7152) PP(453623)
[536] N(448) HP(1829) HA(2279) HM(2387) PM(2635) PP(3372) PA(3857)
[537] N(803) HP(3470) HA(4286) HM(4381) PP(5412) PM(5612) PA(5885)
[538] N(696) HP(2974) HA(3677) HM(3773) PP(4679) PM(4816) PA(6135)
[539] N(954) HP(4079) HA(5103) HM(5289) PM(6284) PA(7248) PP(7327)
[540] N(715) HP(3027) HA(3744) HM(3904) PM(4913) PP(5197) PA(5504)
[541] N(983) HP(4299) HA(5296) HM(5513) PM(6817) PP(7768) PA(8128)
[542] N(115) HP(416) HA(526) HM(543) PP(596) PM(597) PA(619)
[543] N(510) HP(2107) HA(2634) HM(2726) PM(3066) PP(3264) PA(4395)
[544] N(91) HP(327) HA(399) HM(423) PP(424) PM(456) PA(547)
[545] N(94) HP(187) HA(337) HM(372) PM(489) PA(558) PP(4651)
[546] N(627) HP(2636) HA(3257) HM(3368) PM(3836) PP(4712) PA(4772)
[547] N(71) HP(240) PP(296) HA(316) HM(334) PM(342) PA(370)
[548] N(356) HP(1434) HA(1787) HM(1852) PP(1951) PM(2424) PA(2460)
[549] N(350) HP(1379) HA(1765) HM(1817) PM(2109) PA(2344) PP(2348)
[550] N(72) HP(250) HA(315) HM(332) PM(333) PP(353) PA(456)
[551] N(690) HP(2957) HA(3653) HM(3762) PM(4309) PP(4939) PA(5443)
[552] N(821) HP(3468) HA(4340) HM(4530) PM(5235) PP(5649) PA(5904)
[553] N(942) HP(1883) HA(3449) HM(3765) PM(5900) PA(7679) PP(446035)
[554] N(223) HP(851) HA(1116) HM(1124) PP(1269) PM(1392) PA(1542)
[555] N(103) HP(205) HA(368) HM(409) PM(522) PA(547) PP(5560)
[556] N(996) HP(4333) HA(5369) HM(5500) PM(7100) PP(8300) PA(8701)
[557] N(526) HP(2180) HA(2714) HM(2768) PM(3397) PP(3521) PA(3849)
[558] N(888) HP(3780) HA(4688) HM(4908) PM(5855) PA(6348) PP(7134)
[559] N(194) HP(725) HA(931) HM(953) PP(1062) PM(1220) PA(1567)
[560] N(472) HP(1943) HA(2400) HM(2515) PM(2828) PP(2902) PA(3334)
[561] N(952) HP(4100) HA(5118) HM(5291) PP(6042) PM(6831) PA(6899)
[562] N(459) HP(1842) HA(2322) HM(2409) PM(2631) PP(2795) PA(3531)
[563] N(880) HP(3756) HA(4733) HM(4842) PP(6282) PM(6637) PA(7207)
[564] N(64) HP(217) PP(269) HA(278) HM(289) PM(316) PA(347)
[565] N(344) HP(1380) HA(1731) HM(1772) PM(2198) PA(2511) PP(3051)
[566] N(331) HP(1326) HA(1648) HM(1689) PM(1905) PA(2297) PP(2365)
[567] N(508) HP(2119) HA(2633) HM(2701) PP(2957) PM(3301) PA(4105)
[568] N(350) HP(1395) HA(1744) HM(1827) PM(2095) PP(2345) PA(2461)
[569] N(718) HP(3029) HA(3744) HM(3915) PM(4858) PP(4939) PA(5840)
[570] N(592) HP(2459) HA(3098) HM(3167) PP(3894) PM(3914) PA(4268)
[571] N(270) HP(1064) HA(1350) HM(1384) PM(1582) PA(1907) PP(2120)
[572] N(534) HP(2213) HA(2747) HM(2845) PP(3201) PM(3431) PA(3950)
[573] N(73) HP(249) HM(330) HA(330) PP(332) PM(355) PA(373)
[574] N(593) HP(2467) HA(3076) HM(3205) PM(3724) PP(3903) PA(4852)
[575] N(820) HP(3496) HA(4408) HM(4516) PM(5682) PP(6317) PA(6906)
[576] N(778) HP(1555) HA(2867) HM(3109) PM(5189) PA(6199) PP(304585)
[577] N(601) HP(1201) HA(2202) HM(2401) PM(3709) PA(5304) PP(182101)
[578] N(958) HP(4131) HA(5217) HM(5333) PM(6162) PP(7314) PA(7540)
[579] N(836) HP(3599) HA(4469) HM(4540) PM(5720) PP(6082) PA(6245)
[580] N(522) HP(2145) HA(2700) HM(2757) PM(3267) PP(3398) PA(3672)
[581] N(943) HP(4071) HA(5000) HM(5274) PM(5935) PA(7673) PP(8833)
[582] N(298) HP(1174) HA(1498) HM(1550) PP(1861) PM(1969) PA(2156)
[583] N(106) HP(378) PM(479) HA(479) HM(509) PA(646) PP(651)
[584] N(693) HP(2951) HA(3580) HM(3736) PM(4730) PP(4962) PA(5834)
[585] N(521) HP(1041) HA(1902) HM(2081) PM(2929) PA(3873) PP(137021)
[586] N(877) HP(3743) HA(4707) HM(4839) PP(6166) PM(6270) PA(8376)
[587] N(963) HP(4171) HA(5192) HM(5311) PM(6142) PP(6609) PA(7879)
[588] N(362) HP(1431) HA(1831) HM(1888) PM(2234) PP(2279) PA(2863)
[589] N(800) HP(3414) HA(4231) HM(4355) PM(5595) PP(5916) PA(6743)
[590] N(387) HP(1569) HA(1948) HM(2028) PP(2285) PM(2558) PA(2757)
[591] N(922) HP(4075) HA(4945) HM(5130) PM(6267) PA(7033) PP(7085)
[592] N(965) HP(1929) HA(3545) HM(3857) PM(5979) PA(7656) PP(468023)
[593] N(945) HP(1889) HA(3472) HM(3777) PM(5911) PA(7922) PP(448873)
[594] N(932) HP(4019) HA(4995) HM(5135) PP(7047) PM(7680) PA(7714)
[595] N(925) HP(4005) HA(4947) HM(5106) PM(5913) PP(6676) PA(8089)
[596] N(473) HP(1963) HA(2442) HM(2517) PM(2953) PA(3176) PP(3463)
[597] N(692) HP(2909) HA(3634) HM(3770) PP(4448) PM(4704) PA(5134)
[598] N(285) HP(1110) HA(1422) HM(1446) PP(1709) PM(1796) PA(2196)
[599] N(295) HP(1171) HA(1475) HM(1519) PM(1837) PP(1854) PA(2367)
[600] N(490) HP(2024) HA(2496) HM(2611) PM(2976) PP(3450) PA(3864)
[601] N(364) HP(1434) HA(1855) HM(1894) PM(2116) PP(2182) PA(2481)
[602] N(656) HP(2799) HA(3450) HM(3552) PP(3784) PM(4109) PA(4549)
[603] N(260) HP(996) HA(1284) HM(1337) PM(1420) PP(1496) PA(1726)
[604] N(400) HP(1649) HA(2053) HM(2126) PM(2388) PP(2491) PA(3005)
[605] N(875) HP(3760) HA(4678) HM(4806) PA(6146) PP(6270) PM(6292)
[606] N(318) HP(1245) HA(1582) HM(1637) PM(1900) PA(2044) PP(2245)
[607] N(69) HP(233) PM(303) HA(319) HM(322) PP(377) PA(420)
[608] N(260) HP(1026) HA(1291) HM(1319) PM(1531) PP(1617) PA(1648)
[609] N(981) HP(4271) HA(5286) HM(5445) PM(6940) PP(7199) PA(7317)
[610] N(815) HP(3456) HA(4312) HM(4413) PM(5592) PP(6003) PA(6390)
[611] N(902) HP(3820) HA(4778) HM(4991) PM(6285) PA(6670) PP(6792)
[612] N(284) HP(1115) HA(1424) HM(1461) PM(1681) PP(1758) PA(2294)
[613] N(460) HP(1924) HA(2351) HM(2440) PP(2923) PM(2961) PA(3278)
[614] N(258) HP(515) HA(944) HM(1029) PM(1312) PA(1601) PP(33925)
[615] N(242) HP(954) HA(1188) HM(1200) PM(1247) PP(1300) PA(1527)
[616] N(974) HP(4266) HA(5237) HM(5419) PM(6501) PP(7607) PA(8013)
[617] N(837) HP(1673) HA(3091) HM(3344) PM(5475) PA(7263) PP(352375)
[618] N(953) HP(1905) HA(3499) HM(3809) PM(5937) PA(7652) PP(456485)
[619] N(615) HP(2572) HA(3165) HM(3310) PM(3825) PP(4392) PA(5153)
[620] N(735) HP(3095) HA(3895) HM(3997) PM(4684) PA(5756) PP(6104)
[621] N(393) HP(1566) HA(1995) HM(2055) PM(2306) PP(2484) PA(2634)
[622] N(483) HP(965) HA(1781) HM(1929) PM(2750) PA(4074) PP(117850)
[623] N(403) HP(1643) HA(2055) HM(2090) PP(2366) PM(2529) PA(3112)
[624] N(875) HP(3778) HA(4668) HM(4797) PP(5828) PM(6533) PA(7843)
[625] N(197) HP(754) HA(929) HM(977) PM(1106) PA(1474) PP(1543)
[626] N(296) HP(1178) HA(1427) HM(1502) PM(1712) PP(1878) PA(2027)
[627] N(81) HP(273) HA(363) HM(376) PM(399) PA(472) PP(502)
[628] N(584) HP(2412) HA(3001) HM(3177) PM(3579) PP(3693) PA(5009)
[629] N(81) HP(294) PA(366) HA(372) PP(378) HM(387) PM(408)
[630] N(374) HP(1509) HA(1861) HM(1961) PM(2305) PA(2704) PP(2822)
[631] N(170) HP(642) HA(804) HM(846) PM(940) PA(1037) PP(1176)
[632] N(603) HP(2503) HA(3137) HM(3238) PM(3645) PP(4181) PA(5109)
[633] N(962) HP(4172) HA(5117) HM(5338) PA(7173) PM(7221) PP(7834)
[634] N(793) HP(3407) HA(4229) HM(4313) PM(5506) PP(6209) PA(7060)
[635] N(502) HP(2071) HA(2595) HM(2654) PM(3190) PP(3287) PA(3596)
[636] N(946) HP(1891) HA(3461) HM(3781) PM(5915) PA(7417) PP(449821)
[637] N(414) HP(1674) HA(2103) HM(2183) PM(2684) PA(2763) PP(3021)
[638] N(675) HP(2808) HA(3524) HM(3657) PM(4725) PP(4946) PA(5238)
[639] N(380) HP(1533) HA(1933) HM(1965) PM(2285) PP(2591) PA(2797)
[640] N(743) HP(3142) HA(3898) HM(4033) PM(4968) PP(5277) PA(5303)
[641] N(723) HP(3016) HA(3808) HM(3960) PM(4712) PP(5199) PA(5770)
[642] N(444) HP(1834) HA(2242) HM(2324) PM(2923) PP(3117) PA(3168)
[643] N(980) HP(4238) HA(5238) HM(5431) PM(6515) PA(7942) PP(8549)
[644] N(554) HP(2283) HA(2888) HM(2939) PM(3264) PA(4174) PP(4281)
[645] N(688) HP(2893) HA(3653) HM(3744) PM(4308) PP(4998) PA(5254)
[646] N(912) HP(3890) HA(4880) HM(5038) PM(5829) PP(7542) PA(8317)
